"","sampling_day","event_no","ibi_start","ibi_end","ibi_label","valence","arousal","intensity","word_id","word_no","emo_word"
"1",1,1,"630.0","820.0",2,-9,24,2,"1",1,"anticipatory"
"2",1,2,"964.0","794.0",1,18,13,3,"1",2,"happy"
"3",1,3,"589.0","775.0",2,24,-24,3,"1",3,"calm"
"4",1,4,"864.0","687.0",1,-28,-8,2,"1",4,"disgust"
"5",1,5,"532.0","702.0",2,-9,-4,2,"1",5,"annoyed"
"6",1,5,"532.0","702.0",2,-9,-4,2,"2",6,"excited"
"7",1,6,"604.0","803.0",2,28,10,2,"1",7,"relieved"
"8",1,7,"839.0","661.0",1,6,-28,2,"1",8,"annoyed"
"9",1,8,"633.0","816.0",2,-47,30,4,"1",9,"upset"
"10",1,8,"633.0","816.0",2,-47,30,4,"2",10,"disappointed"
"11",1,9,"900.0","721.0",1,9,-31,3,"1",11,"calm"
"12",1,9,"900.0","721.0",1,9,-31,2,"2",12,"happy"
"13",2,1,"1099.0","899.0",1,-6,-28,3,"1",1,"bored"
"14",2,1,"1099.0","899.0",1,-6,-28,2,"2",2,"tired"
"15",2,2,"752.0","940.0",2,16,-10,3,"1",3,"calm"
"16",2,2,"752.0","940.0",2,16,-10,3,"2",4,"happy"
"17",2,3,"526.0","703.0",2,16,5,3,"1",5,"happy "
"18",2,3,"526.0","703.0",2,16,5,2,"2",6,"restless"
"19",2,3,"526.0","703.0",2,16,5,2,"3",7,"nestalgic
"
"20",2,4,"668.0","849.0",2,16,6,3,"1",8,"proud"
"21",2,4,"668.0","849.0",2,16,6,3,"2",9,"happy"
"22",2,5,"901.0","730.0",1,1,24,4,"1",10,"focused"
"23",2,5,"901.0","730.0",1,1,24,2,"2",11,"restless"
"24",2,7,"790.0","617.0",1,-25,-23,3,"1",12,"relaxed"
"25",2,7,"790.0","617.0",1,-25,-23,2,"2",13,"upset"
"26",2,8,"764.0","933.0",2,-30,17,3,"1",14,"stressed"
"27",2,8,"764.0","933.0",2,-30,17,3,"2",15,"dissapointed"
"28",3,1,"541.0","782.0",2,0,22,2,"1",1,"excited"
"29",3,1,"541.0","782.0",2,0,22,2,"2",2,"disappointed"
"30",3,2,"691.0","892.0",2,8,-9,2,"1",3,"calm"
"31",3,2,"691.0","892.0",2,8,-9,2,"2",4,"disappointed"
"32",3,2,"691.0","892.0",2,8,-9,3,"3",5,"excited"
"33",3,3,"603.0","798.0",2,2,13,2,"1",6,"calm"
"34",3,3,"603.0","798.0",2,2,13,3,"2",7,"neutral"
"35",3,4,"548.0","754.0",2,-15,-14,2,"1",8,"bored"
"36",3,4,"548.0","754.0",2,-15,-14,2,"2",9,"restless"
"37",3,6,"578.0","775.0",2,-3,-10,3,"1",10,"bored"
"38",3,7,"848.0","644.0",1,22,6,3,"1",11,"relaxed"
"39",3,7,"848.0","644.0",1,22,6,4,"2",12,"happy"
"40",3,7,"848.0","644.0",1,22,6,2,"3",13,"energized"
"41",3,8,"691.0","883.0",2,17,8,2,"1",14,"excited"
"42",4,1,"686.0","926.0",2,-14,-22,3,"1",1,"annoyed"
"43",4,1,"686.0","926.0",2,-14,-22,4,"2",2,"tired"
"44",4,2,"656.0","857.0",2,8,-27,2,"1",3,"calm"
"45",4,2,"656.0","857.0",2,8,-27,3,"2",4,"nervous
nervous"
"46",4,3,"791.0","1062.0",2,11,-28,3,"1",5,"nostalgic"
"47",4,3,"791.0","1062.0",2,11,-28,4,"2",6,"excited"
"48",4,3,"791.0","1062.0",2,11,-28,3,"3",7,"tired"
"49",4,4,"471.0","676.0",2,5,-20,3,"1",8,"neutral"
"50",4,5,"873.0","678.0",1,1,-19,2,"1",9,"stressed"
"51",4,5,"873.0","678.0",1,1,-19,2,"2",10,"restless"
"52",4,6,"652.0","846.0",2,1,-50,5,"1",11,"tired"
"53",4,7,"586.0","782.0",2,0,13,2,"1",12,"neutral"
"54",4,7,"586.0","782.0",2,0,13,2,"2",13,"excited"
"55",5,1,"688.0","874.0",2,-7,-20,3,"1",1,"bored"
"56",5,1,"688.0","874.0",2,-7,-20,2,"2",2,"uneasy"
"57",5,2,"635.0","997.0",2,-16,-16,2,"1",3,"bored"
"58",5,2,"635.0","997.0",2,-16,-16,2,"2",4,"restless"
"59",5,3,"1019.0","816.0",1,10,-6,2,"1",5,"excited"
"60",5,3,"1019.0","816.0",1,10,-6,2,"2",6,"annoyed"
"61",5,4,"934.0","666.0",1,-17,-14,2,"1",7,"annoyed"
"62",5,4,"934.0","666.0",1,-17,-14,2,"2",8,"anxious"
"63",5,5,"993.0","734.0",1,1,12,2,"1",9,"calm"
